ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
12,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,1,0,0,0,-1.1791867490392305,-0.1839178886561949,0.13809786138585448,1.882489932016458,0,0,0,0,0,0,0,6,1
1,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,-0.6488955928401987,-0.3238588485917945,0,0,0,0,0,0,2,4,0
8,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,-1.1791867490392305,-0.1839178886561949,-0.08675741125016073,-0.7481566910164584,0,0,0,0,0,0,0,5,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.4753807703398773,-0.7481566910164584,0,0,0,0,0,0,0,4,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,2,-1.1791867490392305,-0.1839178886561949,-0.8416286836710689,0.6944559732273989,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.2955515929836034,-0.7481566910164584,0,0,0,0,0,0,0,0,1
12,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.4882846838144736,-0.7481566910164584,0,0,0,0,0,0,0,3,1
7,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.19918504756816832,-0.7481566910164584,0,0,0,0,0,0,0,5,1
13,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-1.0986061381122292,2.0522090689863237,0,0,0,0,0,0,0,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.6970788655479163,-0.06928014313699614,0,0,0,0,0,0,0,6,1
8,3,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,1.4390462244942281,-0.7481566910164584,0,0,0,0,0,0,0,6,1
7,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,1,-1.1791867490392305,-0.1839178886561949,0.8608469520016176,-0.7481566910164584,0,0,0,0,0,0,0,4,1
11,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,1,0.8227362047323793,-0.1839178886561949,1.5835960426173807,-0.7481566910164584,0,0,0,0,0,0,2,7,0
10,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,0.780541497488755,-0.7481566910164584,0,0,0,0,0,0,0,4,1
3,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,1,0,0,0,-1.1791867490392305,-0.1839178886561949,0.2826476795090071,1.6279112265616595,0,0,0,0,0,0,0,4,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.03857413854244319,-0.7481566910164584,0,0,0,0,0,0,0,6,1
5,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,1,0,1,0.8227362047323793,-0.1839178886561949,1.7923902243508234,-0.7481566910164584,0,0,0,0,0,0,2,5,0
16,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.8898119563787864,0.9490346786821973,0,0,0,0,0,0,0,5,1
4,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,1,0.8227362047323793,-0.1839178886561949,2.338467315038289,-0.7481566910164584,0,0,0,0,0,0,2,6,0
11,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,-0.6007123201324812,-0.5784375540465929,0,0,0,0,0,0,4,4,1
7,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,2,0,0,0,0,-1.1791867490392305,-0.1839178886561949,-0.7292010473530613,0.10043899383286943,0,0,0,0,0,0,0,4,1
1,4,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,-1.1791867490392305,-0.1839178886561949,-0.9540563199890765,1.2884729526219285,0,0,0,0,0,0,0,6,1
12,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,1.5675349517148083,-0.7481566910164584,0,0,0,0,0,0,2,5,1
1,2,-0.34954730023533004,-0.2744240920023839,-0.22382148267331547,1,0,1,0,0,0.8227362047323793,-0.1839178886561949,-0.5204068656196186,-0.7481566910164584,0,0,0,0,0,0,2,2,1
