ContractPVCName,ResidenceBuildingTypeCode,MonthlyDeviceNumber,TotalOctetReceived,TotalOctetTransmitted,Gender,ReAgreementYesNo,TransferYesNo,WifiSubscriptionYesNo,SalesSmallYesNo,InternetCount,WingsCount,MaxServiceAfscrbPassoverPeriod,MinAgreementExpirationRemainingMonthCount,MaxGeneralConsultationCount,MaxQualityConsultationCount,MaxTermConsultationCount,MaxSaleConsultationCount,MaxFeeConsultationCount,MaxEtcConsultationCount,InternetProductName,AgeGroup,iptv_yn
강원,아파트,0,0,0,M,N,N,N,Unknown,0,0,139,0,0,0,0,0,0,0,Unknown,70대,Y
전북,아파트,0,0,0,F,N,N,N,N,0,0,37,0,0,0,0,0,0,0,Unknown,50대,Y
경북,아파트,0,0,0,F,Y,N,N,N,0,0,59,6,0,0,0,0,0,0,Unknown,40대,Y
경기,공동주택,0,0,0,M,N,N,N,N,0,0,9,28,0,0,0,0,0,0,Unknown,40대,Y
강원,단독주택,0,0,0,F,Y,N,N,N,0,0,110,0,0,0,0,0,0,0,Unknown,70대,Y
충남,아파트,0,0,0,M,Y,N,N,Unknown,0,0,127,0,0,0,0,0,0,0,Unknown,20대,Y
서울,아파트,0,0,0,F,Y,N,N,Unknown,0,0,120,0,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,32,5,0,0,0,0,0,0,Unknown,60대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,14,23,0,0,0,0,0,0,Unknown,40대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,34,3,0,0,0,0,0,0,Unknown,70대,Y
서울,아파트,0,0,0,F,N,N,N,Unknown,0,0,155,0,0,0,0,0,0,0,Unknown,50대,Y
부산,아파트,0,0,0,F,N,N,N,N,0,0,93,0,0,0,0,0,0,0,Unknown,40대,Y
대구,아파트,0,0,0,F,N,Y,N,N,0,0,19,18,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,F,Y,Y,N,N,1,0,51,20,0,0,0,0,0,0,광랜,40대,Y
세종,아파트,0,0,0,M,N,N,N,Unknown,0,0,125,0,0,0,0,0,0,0,Unknown,40대,Y
대전,아파트,0,0,0,M,N,Y,N,N,1,0,213,0,0,1,0,1,0,0,광랜,80대,Y
강원,아파트,0,0,0,M,N,N,N,N,0,0,96,0,0,0,0,0,0,0,Unknown,50대,Y
대전,아파트,0,0,0,F,N,Y,N,Unknown,1,0,158,0,0,0,0,0,0,0,광랜,50대,N
경남,일반건물,0,0,0,F,N,N,N,N,0,0,5,32,0,0,0,0,0,0,Unknown,50대,Y
부산,아파트,0,0,0,M,N,N,N,N,0,0,48,0,0,0,0,0,0,0,Unknown,60대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,16,21,0,0,0,0,0,0,Unknown,60대,Y
서울,단독주택,0,0,0,F,N,N,N,Unknown,0,0,134,0,0,0,0,0,0,0,Unknown,60대,Y
서울,단독주택,0,0,0,F,N,N,N,Unknown,1,0,242,0,0,0,0,0,0,0,광랜,40대,Y
서울,공동주택,0,0,0,F,Y,N,N,Unknown,1,0,197,0,0,0,0,0,0,0,기가라이트,40대,Y
인천,아파트,0,0,0,F,N,Y,N,Unknown,0,0,129,0,0,0,0,0,0,0,Unknown,30대,Y
경기,아파트,0,0,0,M,N,Y,N,N,0,0,121,0,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,39,0,0,0,0,0,0,0,Unknown,50대,Y
경북,단독주택,0,0,0,M,N,N,N,N,0,0,32,5,0,0,0,0,0,0,Unknown,60대,Y
경기,공동주택,0,0,0,F,N,N,N,N,0,0,89,0,0,0,0,0,0,0,Unknown,30대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,25,12,0,0,0,0,0,0,Unknown,60대,Y
서울,단독주택,0,0,0,F,Y,Y,N,Unknown,1,0,193,0,0,0,0,0,0,0,기가라이트,60대,N
경기,아파트,0,0,0,M,N,Y,N,Unknown,1,0,157,0,0,0,0,0,0,0,기가라이트,40대,N
경남,아파트,0,0,0,M,Y,N,N,N,0,0,45,36,0,0,0,0,0,0,Unknown,60대,Y
강원,아파트,0,0,0,F,N,Y,N,Unknown,0,0,135,0,0,0,0,0,0,0,Unknown,50대,Y
충북,아파트,0,0,0,M,N,N,N,Unknown,0,0,128,0,0,0,0,0,0,0,Unknown,40대,Y
부산,아파트,0,0,0,F,N,Y,N,N,1,0,18,19,0,0,0,0,0,0,광랜,70대,Y
인천,아파트,0,0,0,M,Y,N,N,N,0,0,113,0,0,0,0,0,0,0,Unknown,50대,Y
경남,아파트,0,0,0,M,N,Y,N,N,1,0,38,0,0,0,0,0,0,0,광랜,40대,N
경기,아파트,0,0,0,F,Y,N,N,N,0,0,50,0,0,0,0,0,0,0,Unknown,60대,Y
인천,아파트,0,0,0,M,N,N,N,N,0,0,27,9,0,0,0,0,0,0,Unknown,30대,Y
부산,아파트,0,0,0,M,Y,N,N,Unknown,0,0,136,0,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,F,N,N,N,N,0,0,55,0,0,0,0,0,0,0,Unknown,50대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,58,0,0,0,0,0,0,0,Unknown,60대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,75,0,0,0,0,0,0,0,Unknown,30대,Y
경기,아파트,0,0,0,F,N,N,N,N,0,0,96,0,0,0,0,0,0,0,Unknown,50대,Y
부산,아파트,0,0,0,M,N,N,N,N,0,0,104,0,0,0,0,0,0,0,Unknown,60대,Y
대구,아파트,0,0,0,F,Y,N,N,Unknown,0,0,127,17,0,0,0,0,0,0,Unknown,50대,Y
서울,아파트,0,0,0,M,N,N,N,N,0,0,92,0,0,0,0,0,0,0,Unknown,30대,Y
경기,아파트,0,0,0,M,Y,N,N,Unknown,0,0,124,16,0,0,0,0,0,0,Unknown,20대,Y
경북,단독주택,0,0,0,M,N,N,N,Unknown,0,0,128,0,0,0,0,0,0,0,Unknown,60대,Y
광주,아파트,0,0,0,F,N,N,N,Unknown,0,0,159,0,0,0,0,0,0,0,Unknown,60대,Y
서울,공동주택,0,0,0,M,N,N,N,N,0,0,24,13,0,0,0,0,0,0,Unknown,60대,Y
서울,아파트,0,0,0,F,N,Y,N,Y,1,0,51,0,0,0,0,0,0,0,기가라이트,30대,Y
울산,아파트,0,0,0,M,N,N,N,N,0,0,70,0,0,0,0,0,0,0,Unknown,60대,Y
광주,단독주택,0,0,0,M,N,Y,N,Unknown,1,0,133,0,0,0,0,0,0,0,광랜,70대,N
서울,아파트,0,0,0,F,N,N,N,N,0,0,95,0,0,0,0,0,0,0,Unknown,60대,Y
인천,아파트,0,0,0,M,N,Y,N,Unknown,1,0,219,0,0,0,0,0,0,0,광랜,50대,Y
부산,일반건물,0,0,0,M,N,N,N,N,0,0,11,26,0,0,0,0,0,0,Unknown,50대,Y
경남,아파트,0,0,0,F,N,Y,N,N,1,0,77,0,0,0,0,0,0,0,기가라이트,40대,Y
인천,공동주택,0,0,0,M,Y,N,N,N,0,0,100,0,0,0,0,0,0,0,Unknown,30대,Y
경기,아파트,0,0,0,M,N,N,N,N,0,0,119,0,0,0,0,0,0,0,Unknown,50대,Y
